review,clean_text,rating,date,bank,source
bad ግዴታ መሆንሁ,bad ግዴታ መሆንሁ,1,2025-10-17,Commercial Bank of Ethiopia,Google Play
there is many thing u have to fix.,there is many thing u have to fix.,1,2025-07-24,Commercial Bank of Ethiopia,Google Play
Good,good,4,2025-08-18,Commercial Bank of Ethiopia,Google Play
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.","after the recent updates, i am unable to download a receipt. i can t see the names of account holders i ve previously transacted with. very important. please fix it asap.",1,2025-11-03,Commercial Bank of Ethiopia,Google Play
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.","most of the time when i try to open the app, it does not load. the circle keeps spinning as if it is trying to open, and get a message saying 2 attempts left for offline login . this seems to mean that the app cannot connect to the internet, even though i have a stable internet connection, and all other stuff work properly.",2,2025-09-24,Commercial Bank of Ethiopia,Google Play
I am happy,i am happy,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
Good application,good application,4,2025-11-27,Commercial Bank of Ethiopia,Google Play
nice,nice,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
mobile banking broblem,mobile banking broblem,5,2025-11-01,Commercial Bank of Ethiopia,Google Play
Best app,best app,5,2025-08-18,Commercial Bank of Ethiopia,Google Play
best app,best app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
APPLIED,applied,1,2025-10-14,Commercial Bank of Ethiopia,Google Play
blah blah blah,blah blah blah,5,2025-10-18,Commercial Bank of Ethiopia,Google Play
great,great,5,2025-07-24,Commercial Bank of Ethiopia,Google Play
very good app 👍👍👍 time saving and more accurate,very good app time saving and more accurate,5,2025-08-09,Commercial Bank of Ethiopia,Google Play
the app does not open,the app does not open,1,2025-09-07,Commercial Bank of Ethiopia,Google Play
not allowing to transfer and showing current statement updates.,not allowing to transfer and showing current statement updates.,1,2025-11-19,Commercial Bank of Ethiopia,Google Play
Easy to use and not Complicated 👍,easy to use and not complicated,5,2025-09-15,Commercial Bank of Ethiopia,Google Play
bist app tankyou,bist app tankyou,4,2025-09-23,Commercial Bank of Ethiopia,Google Play
good app,good app,5,2025-10-28,Commercial Bank of Ethiopia,Google Play
Make it user friendly.,make it user friendly.,2,2025-11-29,Commercial Bank of Ethiopia,Google Play
wow,wow,5,2025-07-25,Commercial Bank of Ethiopia,Google Play
great,great,5,2025-09-12,Commercial Bank of Ethiopia,Google Play
ok,ok,5,2025-07-09,Commercial Bank of Ethiopia,Google Play
Very interesting 🤔,very interesting,5,2025-08-10,Commercial Bank of Ethiopia,Google Play
best,best,5,2025-09-10,Commercial Bank of Ethiopia,Google Play
Numbers 2 and 3 don't write during pin verification.,numbers 2 and 3 don t write during pin verification.,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this","it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
እስክሪን ሹት አይሰራም ለምን ተዘጋ?,እስክሪን ሹት አይሰራም ለምን ተዘጋ?,2,2025-07-17,Commercial Bank of Ethiopia,Google Play
Okay 👍,okay,5,2025-07-13,Commercial Bank of Ethiopia,Google Play
cbe the best bank app,cbe the best bank app,4,2025-10-03,Commercial Bank of Ethiopia,Google Play
I love this app b/c every option in the app very clear and supportive.,i love this app b c every option in the app very clear and supportive.,5,2025-10-30,Commercial Bank of Ethiopia,Google Play
I appreciate it,i appreciate it,5,2025-09-01,Commercial Bank of Ethiopia,Google Play
very important app,very important app,4,2025-09-21,Commercial Bank of Ethiopia,Google Play
"The CBE MB app is best and updated with so many features from time to time,but it is impossible to download statements. if it is possible please add a statement download option for both the app and USSD.","the cbe mb app is best and updated with so many features from time to time,but it is impossible to download statements. if it is possible please add a statement download option for both the app and ussd.",2,2025-07-11,Commercial Bank of Ethiopia,Google Play
Mamma Husen,mamma husen,2,2025-10-11,Commercial Bank of Ethiopia,Google Play
good👍👍👍😊😊😊,good,5,2025-10-10,Commercial Bank of Ethiopia,Google Play
"I like this App b/s it's fast, clear, and secured. thank you","i like this app b s it s fast, clear, and secured. thank you",5,2025-07-17,Commercial Bank of Ethiopia,Google Play
Not Prefect Transfer To Other Bank The Mony Not Deliverd Imidetliy Take Three Or Five Days,not prefect transfer to other bank the mony not deliverd imidetliy take three or five days,1,2025-08-27,Commercial Bank of Ethiopia,Google Play
why this app is logging in while your device is not connected to internet ... is it appropriate ?... and it isnt exposed to hucking or malicious activity?,why this app is logging in while your device is not connected to internet ... is it appropriate ?... and it isnt exposed to hucking or malicious activity?,1,2025-08-12,Commercial Bank of Ethiopia,Google Play
suckkkks,suckkkks,1,2025-11-19,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-10-13,Commercial Bank of Ethiopia,Google Play
good 👍,good,5,2025-08-09,Commercial Bank of Ethiopia,Google Play
good app,good app,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
Juhaar,juhaar,5,2025-09-24,Commercial Bank of Ethiopia,Google Play
sifen,sifen,5,2025-11-16,Commercial Bank of Ethiopia,Google Play
super fast app,super fast app,5,2025-10-21,Commercial Bank of Ethiopia,Google Play
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,this is absolute trash why because it s not woking most time the servers are down even though i m using 4g data internet they steal not working they use to work with out even data package now it s trash can t even send money,1,2025-11-09,Commercial Bank of Ethiopia,Google Play
🤮,,1,2025-10-29,Commercial Bank of Ethiopia,Google Play
jabirabdala,jabirabdala,5,2025-09-04,Commercial Bank of Ethiopia,Google Play
WAW!!! I AM PROUD!!! MY STRONG BANK WORKS AT BEST EVEN IN A REMOTE LOCATION HERE IN MALABO (ECUATORIAL GUINEA). MEWOLID MUBARAK CBE!!!,waw!!! i am proud!!! my strong bank works at best even in a remote location here in malabo ecuatorial guinea . mewolid mubarak cbe!!!,5,2025-09-04,Commercial Bank of Ethiopia,Google Play
very good,very good,5,2025-10-23,Commercial Bank of Ethiopia,Google Play
nice,nice,3,2025-08-28,Commercial Bank of Ethiopia,Google Play
በጣምጥሩ,በጣምጥሩ,4,2025-07-21,Commercial Bank of Ethiopia,Google Play
እንዲሁ ነው የሰተኋችሁ ለሞራል,እንዲሁ ነው የሰተኋችሁ ለሞራል,5,2025-08-15,Commercial Bank of Ethiopia,Google Play
WaaaaaaaW,waaaaaaaw,1,2025-09-17,Commercial Bank of Ethiopia,Google Play
Rijalufaris,rijalufaris,5,2025-10-02,Commercial Bank of Ethiopia,Google Play
smart bank CBE,smart bank cbe,5,2025-10-10,Commercial Bank of Ethiopia,Google Play
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,some time when make transfer from mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,Commercial Bank of Ethiopia,Google Play
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,cbe needs to show transaction fees before the transaction is confirmed and not after. this is a big issue as fees are no longer insignificant.,3,2025-11-03,Commercial Bank of Ethiopia,Google Play
"All most Good, but need improvement","all most good, but need improvement",5,2025-09-27,Commercial Bank of Ethiopia,Google Play
well app,well app,5,2025-08-20,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-09-12,Commercial Bank of Ethiopia,Google Play
Good,good,5,2025-09-03,Commercial Bank of Ethiopia,Google Play
very updated bank,very updated bank,5,2025-11-06,Commercial Bank of Ethiopia,Google Play
ok,ok,5,2025-08-21,Commercial Bank of Ethiopia,Google Play
Great,great,5,2025-07-24,Commercial Bank of Ethiopia,Google Play
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,Commercial Bank of Ethiopia,Google Play
good and always try to make new updats 🙏👍,good and always try to make new updats,5,2025-08-22,Commercial Bank of Ethiopia,Google Play
this application do not show over all transaction history,this application do not show over all transaction history,3,2025-08-23,Commercial Bank of Ethiopia,Google Play
why didn't work this app?,why didn t work this app?,1,2025-11-27,Commercial Bank of Ethiopia,Google Play
very good,very good,5,2025-07-22,Commercial Bank of Ethiopia,Google Play
it is the best transferring AP,it is the best transferring ap,5,2025-08-08,Commercial Bank of Ethiopia,Google Play
very good,very good,5,2025-07-20,Commercial Bank of Ethiopia,Google Play
love,love,5,2025-09-12,Commercial Bank of Ethiopia,Google Play
አፕሊኬሽኑን አብዴት ካደረኩት በኋላ የሚስጥር ቁጥር አጭር ስለሆነ ቀይር ብሎኝ ለሶስት ቀናት ብሞክር unable to connect the server ከማለቱም በላይ አፕሊካሽኑ እየሰራልኝ አይደለም🙏🙏,አፕሊኬሽኑን አብዴት ካደረኩት በኋላ የሚስጥር ቁጥር አጭር ስለሆነ ቀይር ብሎኝ ለሶስት ቀናት ብሞክር unable to connect the server ከማለቱም በላይ አፕሊካሽኑ እየሰራልኝ አይደለም,1,2025-08-22,Commercial Bank of Ethiopia,Google Play
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው,5,2025-09-06,Commercial Bank of Ethiopia,Google Play
👍,,5,2025-08-22,Commercial Bank of Ethiopia,Google Play
Really excellent,really excellent,5,2025-07-19,Commercial Bank of Ethiopia,Google Play
excellent,excellent,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
excellent,excellent,5,2025-07-21,Commercial Bank of Ethiopia,Google Play
እሽ,እሽ,5,2025-07-07,Commercial Bank of Ethiopia,Google Play
very nice app,very nice app,5,2025-08-12,Commercial Bank of Ethiopia,Google Play
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.","once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn t been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Commercial Bank of Ethiopia,Google Play
i like this√,i like this,4,2025-11-16,Commercial Bank of Ethiopia,Google Play
terrible when showing history of transaction it shows in disorganised way,terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,Commercial Bank of Ethiopia,Google Play
Excellent app,excellent app,5,2025-09-12,Commercial Bank of Ethiopia,Google Play
"i like your app to order ATM card through it, i get it new on your app","i like your app to order atm card through it, i get it new on your app",5,2025-08-09,Commercial Bank of Ethiopia,Google Play
very nice,very nice,5,2025-09-16,Commercial Bank of Ethiopia,Google Play
from Monk,from monk,3,2025-09-06,Commercial Bank of Ethiopia,Google Play
best,best,5,2025-09-05,Commercial Bank of Ethiopia,Google Play
not Refresh,not refresh,2,2025-11-10,Commercial Bank of Ethiopia,Google Play
List of transactions can't load over months and years..,list of transactions can t load over months and years..,1,2025-08-23,Commercial Bank of Ethiopia,Google Play
sahib amin jamal,sahib amin jamal,1,2025-08-31,Commercial Bank of Ethiopia,Google Play
love it,love it,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
am happy 😃,am happy,5,2025-09-09,Commercial Bank of Ethiopia,Google Play
It is nice app,it is nice app,5,2025-11-26,Commercial Bank of Ethiopia,Google Play
best app,best app,5,2025-07-26,Commercial Bank of Ethiopia,Google Play
niiceh,niiceh,5,2025-10-29,Commercial Bank of Ethiopia,Google Play
Active and granted system,active and granted system,5,2025-10-27,Commercial Bank of Ethiopia,Google Play
nice application,nice application,5,2025-09-17,Commercial Bank of Ethiopia,Google Play
good,good,3,2025-09-11,Commercial Bank of Ethiopia,Google Play
Would be great if it displays service fees before proceeding with transaction.,would be great if it displays service fees before proceeding with transaction.,4,2025-08-20,Commercial Bank of Ethiopia,Google Play
good job,good job,5,2025-11-01,Commercial Bank of Ethiopia,Google Play
nice apk,nice apk,5,2025-07-19,Commercial Bank of Ethiopia,Google Play
Good apps,good apps,5,2025-10-09,Commercial Bank of Ethiopia,Google Play
yes it is v good,yes it is v good,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
"Very useful app, while we use CBE.","very useful app, while we use cbe.",5,2025-08-28,Commercial Bank of Ethiopia,Google Play
"I am using this service from abroad, which i have active account in Ethiopia. Anytime I want support family, I easily sent funds to my CBE bank using my abroad debit or visa credit and transfer to their bank. so recommend diaspora to open bank account whenever they going back home. it helps a lot . 1st. They can easily send money from their abroad bank account to their CEB, Awash,Oromia bank whatever. 2nd, They don't need family to withdraw money for them to use it. They have privacy.","i am using this service from abroad, which i have active account in ethiopia. anytime i want support family, i easily sent funds to my cbe bank using my abroad debit or visa credit and transfer to their bank. so recommend diaspora to open bank account whenever they going back home. it helps a lot . 1st. they can easily send money from their abroad bank account to their ceb, awash,oromia bank whatever. 2nd, they don t need family to withdraw money for them to use it. they have privacy.",5,2025-07-25,Commercial Bank of Ethiopia,Google Play
asfaw damse,asfaw damse,5,2025-09-19,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-11-30,Commercial Bank of Ethiopia,Google Play
ok,ok,1,2025-08-04,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-07-29,Commercial Bank of Ethiopia,Google Play
very bad app,very bad app,1,2025-08-09,Commercial Bank of Ethiopia,Google Play
Very easy to use,very easy to use,5,2025-08-02,Commercial Bank of Ethiopia,Google Play
"this app is pretty good. The recent one was the nicest. however after the update, it restricts me from taking a screenshot. i would be happy if you remove screenshots restriction policy from this app. why I gave it five stars was because of the past performances of this app. keep in mind to remove the screenshot restriction policy from this app. and also it has no self authorizations. once uninstalled it needs extra sim cards and wants to visit nearby banks in person.","this app is pretty good. the recent one was the nicest. however after the update, it restricts me from taking a screenshot. i would be happy if you remove screenshots restriction policy from this app. why i gave it five stars was because of the past performances of this app. keep in mind to remove the screenshot restriction policy from this app. and also it has no self authorizations. once uninstalled it needs extra sim cards and wants to visit nearby banks in person.",5,2025-08-20,Commercial Bank of Ethiopia,Google Play
very good application! thank you all who participate!,very good application! thank you all who participate!,5,2025-10-08,Commercial Bank of Ethiopia,Google Play
Cbe,cbe,5,2025-10-27,Commercial Bank of Ethiopia,Google Play
Best app ever,best app ever,5,2025-07-17,Commercial Bank of Ethiopia,Google Play
will good updating,will good updating,5,2025-10-09,Commercial Bank of Ethiopia,Google Play
the most advanced app. but how to stay safe?,the most advanced app. but how to stay safe?,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
it's good but add some more please,it s good but add some more please,3,2025-08-08,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-09-26,Commercial Bank of Ethiopia,Google Play
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,it will be more better if the app have the feature receipt verifying from qr code screenshot images from gallery ... currently it works only from direct camera capturing,4,2025-09-23,Commercial Bank of Ethiopia,Google Play
it doesn't show bank statement and no options to see transactions for the past months.,it doesn t show bank statement and no options to see transactions for the past months.,2,2025-10-12,Commercial Bank of Ethiopia,Google Play
ok,ok,5,2025-08-07,Commercial Bank of Ethiopia,Google Play
best app and easy to use,best app and easy to use,5,2025-08-23,Commercial Bank of Ethiopia,Google Play
best,best,5,2025-07-26,Commercial Bank of Ethiopia,Google Play
i love this app,i love this app,5,2025-07-14,Commercial Bank of Ethiopia,Google Play
the app is good but their is no dark mode you have to add it,the app is good but their is no dark mode you have to add it,3,2025-10-29,Commercial Bank of Ethiopia,Google Play
አውርድ,አውርድ,5,2025-07-18,Commercial Bank of Ethiopia,Google Play
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps","great application for me,so i would like to rate with solid 5 star.that it works well overall. so hello everyone enjoy the apps",5,2025-09-27,Commercial Bank of Ethiopia,Google Play
Our Commercial Bank of Ethiopia is Good !,our commercial bank of ethiopia is good !,5,2025-10-06,Commercial Bank of Ethiopia,Google Play
"amzing app, so 10Q","amzing app, so 10q",5,2025-07-11,Commercial Bank of Ethiopia,Google Play
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,this app is very useful but sometimes when you want to see specific transactions it didn t work so that way i gave 3,3,2025-09-20,Commercial Bank of Ethiopia,Google Play
this app is not working on my phone,this app is not working on my phone,5,2025-11-03,Commercial Bank of Ethiopia,Google Play
Galaxy A10s,galaxy a10s,3,2025-10-26,Commercial Bank of Ethiopia,Google Play
i like it and aprshat.,i like it and aprshat.,4,2025-08-23,Commercial Bank of Ethiopia,Google Play
Very nice app,very nice app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
very good banking service and fast service,very good banking service and fast service,5,2025-11-24,Commercial Bank of Ethiopia,Google Play
Doesn't have option to generate statement for transactions,doesn t have option to generate statement for transactions,3,2025-09-18,Commercial Bank of Ethiopia,Google Play
excellent app with lots of features,excellent app with lots of features,5,2025-10-04,Commercial Bank of Ethiopia,Google Play
Abebaw Zenebe,abebaw zenebe,5,2025-10-28,Commercial Bank of Ethiopia,Google Play
nice,nice,4,2025-10-23,Commercial Bank of Ethiopia,Google Play
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,this app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. i think it is a risk full app,1,2025-10-15,Commercial Bank of Ethiopia,Google Play
good app,good app,4,2025-08-06,Commercial Bank of Ethiopia,Google Play
thank you,thank you,5,2025-07-30,Commercial Bank of Ethiopia,Google Play
make life easy,make life easy,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
CBE ይለያል።,cbe ይለያል,5,2025-11-29,Commercial Bank of Ethiopia,Google Play
okay,okay,5,2025-07-18,Commercial Bank of Ethiopia,Google Play
Of,of,5,2025-09-16,Commercial Bank of Ethiopia,Google Play
this app is the good apps,this app is the good apps,5,2025-08-17,Commercial Bank of Ethiopia,Google Play
"እባካችሁ አፑ ጥሩ ነው ነገር ግን በፈለግነው ጊዜና ሰአት መጠቀም አልቻልንም ኔትዎርክ እያለ እንኳ እያስጠቀመን አይደለም""""",እባካችሁ አፑ ጥሩ ነው ነገር ግን በፈለግነው ጊዜና ሰአት መጠቀም አልቻልንም ኔትዎርክ እያለ እንኳ እያስጠቀመን አይደለም,2,2025-08-20,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-09-12,Commercial Bank of Ethiopia,Google Play
very good app,very good app,5,2025-09-05,Commercial Bank of Ethiopia,Google Play
excellent,excellent,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
this app good,this app good,4,2025-07-17,Commercial Bank of Ethiopia,Google Play
still not perfect like before,still not perfect like before,1,2025-10-15,Commercial Bank of Ethiopia,Google Play
good I love it keep it up but if we had a new update that will be fire Soo good,good i love it keep it up but if we had a new update that will be fire soo good,5,2025-10-27,Commercial Bank of Ethiopia,Google Play
በጣም አሪፍ ነው በርቱልን,በጣም አሪፍ ነው በርቱልን,5,2025-08-12,Commercial Bank of Ethiopia,Google Play
it's best app to use recently and upgraded day to day for internationalization,it s best app to use recently and upgraded day to day for internationalization,4,2025-09-16,Commercial Bank of Ethiopia,Google Play
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Commercial Bank of Ethiopia,Google Play
they been freezing a transfered money till the time they chose chose it to be delivered bruh,they been freezing a transfered money till the time they chose chose it to be delivered bruh,1,2025-07-30,Commercial Bank of Ethiopia,Google Play
one of the best,one of the best,5,2025-08-22,Commercial Bank of Ethiopia,Google Play
"z,MKT 20_._!8+⅓⅕😘r","z,mkt 20_._!8 ⅓⅕ r",1,2025-10-09,Commercial Bank of Ethiopia,Google Play
I have forgotten mobail banking password,i have forgotten mobail banking password,5,2025-08-25,Commercial Bank of Ethiopia,Google Play
mayreba app you its better if you use other banks,mayreba app you its better if you use other banks,1,2025-08-27,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-09-09,Commercial Bank of Ethiopia,Google Play
good keep it up,good keep it up,5,2025-08-13,Commercial Bank of Ethiopia,Google Play
absolutely excellent,absolutely excellent,5,2025-09-04,Commercial Bank of Ethiopia,Google Play
ጤና ከድረ,ጤና ከድረ,5,2025-08-25,Commercial Bank of Ethiopia,Google Play
ok,ok,5,2025-09-19,Commercial Bank of Ethiopia,Google Play
best and fast,best and fast,5,2025-08-02,Commercial Bank of Ethiopia,Google Play
good app,good app,5,2025-10-02,Commercial Bank of Ethiopia,Google Play
bad app,bad app,1,2025-11-10,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-10-27,Commercial Bank of Ethiopia,Google Play
cbe is my choice,cbe is my choice,4,2025-11-11,Commercial Bank of Ethiopia,Google Play
the best apps,the best apps,5,2025-10-26,Commercial Bank of Ethiopia,Google Play
tinishu titiba,tinishu titiba,5,2025-08-29,Commercial Bank of Ethiopia,Google Play
"it says ""ti is work any more in your device"" what can i do??",it says ti is work any more in your device what can i do??,1,2025-10-18,Commercial Bank of Ethiopia,Google Play
In your next update can you come with night mode future,in your next update can you come with night mode future,5,2025-08-27,Commercial Bank of Ethiopia,Google Play
best,best,5,2025-07-06,Commercial Bank of Ethiopia,Google Play
ok,ok,5,2025-11-11,Commercial Bank of Ethiopia,Google Play
very aazing,very aazing,5,2025-07-18,Commercial Bank of Ethiopia,Google Play
"unexpected anomalies, unreliable as fintec app","unexpected anomalies, unreliable as fintec app",2,2025-08-05,Commercial Bank of Ethiopia,Google Play
"the most disgusting app,","the most disgusting app,",1,2025-08-07,Commercial Bank of Ethiopia,Google Play
don't work,don t work,1,2025-07-05,Commercial Bank of Ethiopia,Google Play
ብዙ ጊዜ ያስቸግራል አይሰራም error now milew,ብዙ ጊዜ ያስቸግራል አይሰራም error now milew,5,2025-08-03,Commercial Bank of Ethiopia,Google Play
"essy to use ,has great interface and user-friendly g","essy to use ,has great interface and user friendly g",5,2025-08-29,Commercial Bank of Ethiopia,Google Play
wow,wow,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-10-09,Commercial Bank of Ethiopia,Google Play
the app is not functional this week.,the app is not functional this week.,4,2025-11-08,Commercial Bank of Ethiopia,Google Play
Can't see the nearest Branch or ATM available,can t see the nearest branch or atm available,2,2025-09-08,Commercial Bank of Ethiopia,Google Play
very good,very good,5,2025-08-01,Commercial Bank of Ethiopia,Google Play
excited,excited,5,2025-08-27,Commercial Bank of Ethiopia,Google Play
Nice,nice,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
change mobile banking CBE,change mobile banking cbe,5,2025-08-18,Commercial Bank of Ethiopia,Google Play
opne,opne,5,2025-10-13,Commercial Bank of Ethiopia,Google Play
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,application bank commercial ethiopia i am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,Commercial Bank of Ethiopia,Google Play
berhan deriba wami,berhan deriba wami,4,2025-10-14,Commercial Bank of Ethiopia,Google Play
The best one,the best one,5,2025-07-20,Commercial Bank of Ethiopia,Google Play
best,best,5,2025-11-25,Commercial Bank of Ethiopia,Google Play
this is very useful and consistent app,this is very useful and consistent app,5,2025-09-23,Commercial Bank of Ethiopia,Google Play
good morning 🙏,good morning,5,2025-09-10,Commercial Bank of Ethiopia,Google Play
Thank you,thank you,5,2025-08-25,Commercial Bank of Ethiopia,Google Play
"I think it is a good app to use easily. However, I have one more comment: the app does not automatically sync or update the balance in real time. Please review this issue. For example, when someone transfers money, the receiver's app does not sync automatically. It requires the user to manually initiate an update to see the current balance.","i think it is a good app to use easily. however, i have one more comment the app does not automatically sync or update the balance in real time. please review this issue. for example, when someone transfers money, the receiver s app does not sync automatically. it requires the user to manually initiate an update to see the current balance.",4,2025-09-04,Commercial Bank of Ethiopia,Google Play
nice app,nice app,5,2025-08-25,Commercial Bank of Ethiopia,Google Play
zinaa Ahmed,zinaa ahmed,5,2025-09-04,Commercial Bank of Ethiopia,Google Play
difficult to transfer between accounts even settling tax obligations. system error notification more frequent.,difficult to transfer between accounts even settling tax obligations. system error notification more frequent.,1,2025-07-16,Commercial Bank of Ethiopia,Google Play
Nice,nice,4,2025-08-31,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-08-30,Commercial Bank of Ethiopia,Google Play
topp,topp,5,2025-09-02,Commercial Bank of Ethiopia,Google Play
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?","suddenly the cbe application i was using stopped working and called callcenter, i was told it s because it expired and i should vist any branch to fix it. so i went to cbe silassie branch.after filling a form they gave me, i sat down and waited until they finish fixing 2 customer s case who arrived before me. but then when it was my turn ppl who came after me with same mobile banking and even atm card cases were finishing up and leaving i had to get back to my work so i left.with no service.why?",1,2025-10-16,Commercial Bank of Ethiopia,Google Play
Truly amazing!,truly amazing!,5,2025-09-18,Commercial Bank of Ethiopia,Google Play
password በጣት አሻራ ቢኖረው መልካም ነበር,password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,Commercial Bank of Ethiopia,Google Play
Excellent,excellent,5,2025-08-20,Commercial Bank of Ethiopia,Google Play
The app makes our life easier. Thank you CBE!,the app makes our life easier. thank you cbe!,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
sintu,sintu,5,2025-09-29,Commercial Bank of Ethiopia,Google Play
በጣም ቀላልና ምቹ ነው።,በጣም ቀላልና ምቹ ነው,5,2025-11-23,Commercial Bank of Ethiopia,Google Play
it is very good banking web but its network is sometimes busy i hope they willfix the problem,it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,Commercial Bank of Ethiopia,Google Play
"it's a nice app""and buy to pay then simple for money transaction 10Q CBE.",it s a nice app and buy to pay then simple for money transaction 10q cbe.,5,2025-07-11,Commercial Bank of Ethiopia,Google Play
nice app,nice app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
transferring money to telebirr is not working,transferring money to telebirr is not working,1,2025-08-23,Commercial Bank of Ethiopia,Google Play
so disappointing :((,so disappointing,1,2025-08-20,Commercial Bank of Ethiopia,Google Play
"I can't see my old transaction on this bank app just like other banks mobile apps example abissinya, tele birr, so please update this feature.","i can t see my old transaction on this bank app just like other banks mobile apps example abissinya, tele birr, so please update this feature.",1,2025-07-12,Commercial Bank of Ethiopia,Google Play
You guys charge way to much when we transfer money from CBE to Telebirr via this app,you guys charge way to much when we transfer money from cbe to telebirr via this app,3,2025-08-21,Commercial Bank of Ethiopia,Google Play
